cluster_gamma,delta,mean_z_score,mean_p_value,num_samples,,,,,,,,,
0.15,1,4.48217021,0.003673756,20,,,,,,,,,
0.15,2,9.860357582,4.39E-09,20,,,,,,,,,
0.15,4,17.39445231,1.80E-36,20,,,,,,,,,
0.15,8,22.97405329,7.60E-39,20,,,,,,,,,
0.25,1,3.341651804,0.060886667,20,,,,,,,,,
0.25,2,8.089700168,0.046200281,20,,,,,,,,,
0.25,4,15.31259496,3.88E-09,20,,,,,,,,,
0.25,8,22.97268925,5.37E-28,20,,,,,,,,,
0.5,1,1.522342295,0.381673835,20,,,,,,,,,
0.5,2,4.837473646,0.021756324,20,,,,,,,,,
0.5,4,14.34171481,1.88E-11,20,,,,,,,,,
0.5,8,21.93296178,6.75E-05,20,,,,,,,,,
0.75,1,0.112781168,0.692159406,20,,,,,,,,,
0.75,2,2.845117016,0.251745445,20,,,,,,,,,
0.75,4,10.6255232,0.010018489,20,,,,,,,,,
0.75,8,21.32343654,6.10E-19,20,,,,,,,,,
1,1,-4.903087599,0.929514757,20,,,,,,,,,
1,2,-4.416899438,0.945845477,20,,,,,,,,,
1,4,8.932160866,0.20502492,20,,,,,,,,,
1,8,22.43821687,7.31E-53,20,,,,,,,,,
